id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4648199929463259	,KkdTODHPd,7567537555	,stars星辰x,#十堰燃气爆炸已致25人死亡#,,,,0,0,0,2021-06-15 03:58,HUAWEI P30,	
4648199794983155	,KkdTBkUlt,3558031095	,囧途天路,十堰发生燃气爆炸事故真的不知道明天和意外哪一个先来。姨父和阿姨不幸遇难，恋爱里的pua要怎么界定母亲烧伤严重在重症救护等待明日手术。突发的重大安全事故，一切都让人猝不及防，母亲一生坚强勤恳淳朴善良，是亲朋都会,,,,0,0,0,2021-06-15 03:57,荣耀3C畅玩版,	
4648199119962475	,KkdSvFNH5,2266189835	,_荷西的三毛,#十堰燃气爆炸已致25人死亡#燃气泄露报警器一定要安装，求求你们了！,,,,0,0,1,2021-06-15 03:54,HUAWEI P40 Pro 5G,	
4648198762922318	,KkdRWcgea,2676782041	,领航舵之,"湖北十堰爆炸事故亲历者：被气浪掀翻几米去年有人来修管道,时事,事故灾难,好看视频O网页链接",,,,0,0,0,2021-06-15 03:53,分享按钮,	
4648198457262397	,KkdRruthr,6467877827	,一叶孤帆飘轻舟,#十堰燃气爆炸已致25人死亡#不要再增加死亡人数了🙏🙏🙏,,,,0,0,0,2021-06-15 03:52,HUAWEI P40 5G,	
4648198201409623	,KkdR25UHR,1269214315	,北山银角,我在看：【小视频|湖北十堰燃气爆炸事故已致25人死亡！】#跟新浪看热点#L湖北十堰燃气爆炸事故已致25人死亡！,,,,0,0,0,2021-06-15 03:51,新浪新闻客户端,	
4648197286527683	,KkdPyro9d,1146272044	,V去痛片,#十堰燃气爆炸已致25人死亡#阿弥陀佛！谁来为这25个无辜的生命负责？,,,,0,1,5,2021-06-15 03:47,,	
4648196372431178	,KkdO5acsy,1683840353	,卧槽什么鬼xx,#十堰燃气爆炸已致25人死亡#,,,,0,0,0,2021-06-15 03:43,iPhone XS(银色),	
4648195785752929	,KkdN8o8Bb,6008172792	,W夏夜晚风T,#十堰燃气爆炸已致25人死亡#🙏🙏🙏,,,,0,0,1,2021-06-15 03:41,Note 9,	
4648195475374110	,KkdMDmy3c,2413774550	,重庆新闻哥,【#网友回忆十堰爆炸街道往事#：明明之前他们还鲜活的在街道上吆喝着】网友@吴雩无语发文回忆十堰爆炸街道往事：晚上给老妈打电话，突然觉得死亡人数不仅仅是一个数字，每个“1”是可能我们认识的、见过的邻里好友...图一天津钙骨包夫妻俩均已遇难，记得弟弟最喜欢他家的牛肉包，每次带他去买，阿姨或者叔叔都说“姐姐回来啦，带你来买包子啦？”图二全家福蛋糕是我从小吃到大的蛋糕店，现在我在外地上大学，弟弟还在本地上小学，这也成了他的常备早餐...图二全相信大药房右侧是一家洗衣房，我们家原来开店的时候跟这一家人做了十几年邻居，现在邻居叔叔生死未卜...爆炸点上方的彭家豆腐，他家的原磨豆浆是我在外地从来喝不到的味道，现在店员不是遇难就是重伤...这条街上，每一家每一户都和我们打过交道的互相熟知的邻里。但现在，街道成了废墟，有的人也不在了...明明在暑假上学前，他们还鲜活的在街道上吆喝...遇难人数真的不要再增加了🙏逝者安息，生者平安🙏🙏🙏#十堰燃气爆炸已致25人死亡#,,重庆·加州,吴雩无语,44,77,299,2021-06-15 03:40,iPhone XS Max,	
4648195177316880	,KkdM9uHsc,7349648485	,殇式農情,#十堰燃气爆炸已致25人死亡#又是害怕有意外的一天,,,,0,0,1,2021-06-15 03:39,美女Android,	
4648082958979832	,KkaR9BG40,1496883514	,凯雷,#十堰燃气爆炸已致25人死亡#湖北通报十堰市张湾区燃气爆炸事故救援处置进展，截至目前，本次事故已经造成25人死亡。这是天灾还是人祸？叩问！这分明是人祸，希望湖北书记省长严查！看了涂先生的的文字哀号，让人痛彻心扉！能掀掉菜市场的大爆炸绝非市民失手，导火索可能在地面，但绝对是有隐藏在地下的大隐患！煤气公司有推卸不掉的安全管理责任，这是重大失职！ 涂先生的姨夫与阿姨双双丧命，还有母亲在手术室：“真的不知道明天和意外哪一个先来。姨父和阿姨不幸遇难，母亲烧伤严重在重症救护等待明日手术。突发的重大安全事故，一切都让人猝不及防，母亲一生坚强勤恳淳朴善良，是亲朋都会竖起大拇指的伟大女性，母亲一生做了很多善事，希望苍天有眼佛祖保佑，我也会一直陪在母亲身边带她渡过难关！愿逝者安息，愿生者平安！平时都在手术室里救治别人的亲人，这一次到救治自己的妈妈我却只能在门外等待，这一夜真的太漫长了！” 城市使用燃气不是一天两天，一年两年。【燃气泄漏怎么办？】科普小知识再次扑天盖地：“使用燃气做饭时不应离人，定期检查更换燃气软管。查看燃气泄漏可用肥皂水、洗洁精等兑水涂在管道、接头等处，若漏气会连续冒泡。燃气泄漏还会散发臭鸡蛋味，应切断电源，打开门窗，不要触碰室内任何电器开关，包括打手机，微小电火花就可能引发爆炸、爆燃”！但这只是表面，张湾如此巨烈的爆炸，绝非简单的家庭燃气失误，可能是大隐患未发现才酿成如此惨剧！ 这个大隐患在哪里，教训在哪里？25人血淋淋的事实在叩问，其他城市也一定有张湾这样的大隐患，湖北当彻查，让各个城市的管理者和市民都知道，真正实现举一反三！,,,,245,540,4665,2021-06-14 20:13,iPhone 7 Plus,	
4648194639659258	,KkdLhEwOu,1483966623	,老田de微博,钱就是命，命就是钱拿钱卖命，有命花钱享受安全保险可靠上面千万别省钱，那是人命损失了人命多少钱能挽回？领导反省，燃气公司反省，居民都要反省。#湖北十堰燃气爆炸现场居民发声#,,,,0,0,1,2021-06-15 03:37,HUAWEI Mate 10 Pro,4648082958979832	
4648192816185692	,KkdIlpXbe,7624417421	,用户7624417421,我在看：【视频|湖北十堰燃气爆炸已致25人死亡：现场搜救仍在继续】#跟新浪看热点#L湖北十堰燃气爆炸已致25人死亡：现场搜救仍在继续,,,,0,0,0,2021-06-15 03:29,新浪新闻客户端,	
